踲 | dun 1
瞷 | jian 3
儸 | luo 2
綻 | zhan 1
鈺 | yu 10
弼 | bi 162
箿 | ji 1
頾 | zi 1
敀 | po 1
臃 | yong 8
过 | guo 9016
楈 | xu 1
闋 | que 1
囍 | xi 5
睌 | man 1
鏏 | wei 1
峑 | quan 3
駓 | pi 3
嫕 | yi 1
答 | da 1624
惙 | chuo 9
轜 | er 1
瓡 | zhi 1
镠 | liu 5
狥 | xun 2
鍤 | cha 1
屦 | ju 96
磩 | zhu 1
婪 | lan 24
蛭 | zhi 76
恮 | zhuan 1
賱 | yun 1
湲 | yuan 115
諵 | nan 3
執 | zhi 23
瑶 | yao 1505
郹 | ju 1
牺 | xi 102
寿 | shou 3131
愃 | xuan 1
蚂 | ma 200
漇 | xi 1
貆 | huan 2
甋 | di 2
誊 | teng 35
猏 | jian 1
邎 | you 1
嶐 | long 1
礓 | jiang 7
麒 | qi 446
宔 | zhu 1
蜗 | wo 286
憘 | xi 2
贛 | zhuang 1
丝 | si 5619
澜 | lan 467
謟 | tao 2
疠 | li 67
鄣 | zhang 13
別 | bie 16
玤 | bang 1
鼧 | tuo 1
堩 | geng 1
昭 | zhao 1171
螬 | cao 8
氱 | yang 1
趰 | er 1
樵 | qiao 522
瀹 | yue 8
醸 | niang 1
劺 | mou 1
總 | zong 3
墾 | ken 2
葁 | jiang 1
曂 | huang 2
艅 | yu 6
佇 | zhu 1
櫊 | ge 1
协 | xie 1811
烎 | yin 1
鱑 | huang 1
奓 | zha 7
绒 | rong 711
驕 | xiao 1
杗 | mang 1
蓖 | bi 28
浛 | han 4
苚 | yong 1
俜 | ping 19
歟 | yu 1
裞 | shui 1
嗠 | lu 1
煣 | rou 1
離 | li 8
罧 | shen 1
鳦 | yi 2
姨 | yi 128
蕫 | dong 5
髪 | fa 4
柬 | jian 46
毴 | bi 1
靷 | yin 4
偹 | bei 1
燸 | ruan 1
鵻 | zhui 3
幽 | you 3127
翼 | yi 1749
魿 | ling 1
极 | ji 6476
蘀 | ze 1
憅 | tong 1
耄 | mao 21
伆 | wu 1
殉 | xun 160
計 | ji 45
疍 | dan 2
鐌 | xiang 1
匎 | e 1
羑 | you 5
鸐 | di 3
禕 | yi 2
頔 | di 9
朖 | lang 1
莙 | jun 4
些 | xie 742
愚 | yu 731
趝 | jian 1
欞 | ling 1
鞡 | la 3
劣 | lie 289
產 | chan 24
醥 | piao 4
岧 | tiao 32
缦 | man 49
鮩 | bing 1
暫 | zan 5
礪 | li 1
悯 | min 77
茮 | niao 1
丰 | feng 5948
璷 | lu 1
霶 | pang 2
纻 | zhu 50
鄺 | kuo 1
尼 | ni 5445
碿 | xie 1
鬾 | qi 1
晀 | tiao 1
苃 | you 1
恄 | xi 2
資 | zi 88
橈 | rao 1
嗍 | suo 4
瑌 | ruan 1
郏 | jia 34
忑 | te 10
繐 | sui 21
髓 | sui 940
姕 | zi 1
硔 | hong 1
揙 | bian 1
艘 | sou 38
淝 | fei 54
矡 | jue 1
陠 | pu 1
啢 | liang 1
燥 | zao 560
遤 | ma 1
彦 | yan 1123
驨 | xi 1
藭 | qiong 4
据 | ju 2243
迱 | yi 1
觵 | gong 1
哷 | lv 1
睶 | chun 1
鏹 | qiang 1
廻 | hui 7
煺 | tui 2
鷽 | xue 2
壿 | dun 1
签 | qian 431
戃 | tang 4
薂 | xiao 1
氇 | lu 2
辆 | liang 262
瘋 | feng 2
覊 | ji 1
瀏 | liu 1
鎎 | kai 1
稓 | zuo 1
鶒 | chi 21
墔 | cui 2
萗 | ce 1
踛 | lu 1
沜 | pan 3
蠟 | la 6
圡 | tu 1
皠 | cui 1
鈣 | gai 2
儥 | yu 1
炤 | zhao 9
鰧 | teng 241
嬩 | yu 1
攭 | luo 1
蒬 | yuan 1
漱 | shu 196
躰 | ti 1
椵 | jia 1
袴 | ku 51
垶 | xing 1
猹 | cha 1
銸 | zhe 1
冺 | min 1
紽 | tuo 2
鲼 | fen 52
宾 | bin 11916
蝁 | e 1
旂 | qi 45
腅 | dan 1
證 | zheng 43
噋 | tun 1
槊 | shuo 53
镍 | nie 440
偏 | pian 2194
珎 | zhen 1
齑 | ji 39
婓 | fei 1
緒 | xu 16
饕 | tao 60
摗 | sou 1
蟖 | si 1
湛 | zhan 601
臚 | lu 1
桟 | zhan 1
诞 | dan 425
因 | yin 5527
牣 | ren 3
闢 | pi 23
籧 | qu 7
嫨 | nan 1
駪 | shen 5
擬 | ni 4
聯 | lian 7
佱 | fa 1
滰 | jiang 1
棴 | su 1
鑷 | nie 1
卹 | xu 1
狸 | li 282
鹻 | jian 2
糼 | gong 1
暁 | xiao 2
蜀 | shu 2124
悅 | yue 3
脄 | mei 1
檉 | cheng 2
謈 | po 1
璍 | hua 1
刎 | wen 16
纑 | lu 2
鼐 | nai 51
尒 | mi 1
碕 | qi 12
餔 | bu 14
昖 | yan 1
芙 | fu 1337
供 | gong 2331
怚 | zu 1
貝 | bei 6
樞 | shu 1
隡 | sa 1
厣 | yan 9
邥 | shen 1
嶧 | yi 1
縦 | zong 1
骩 | wei 1
枫 | feng 1125
砪 | mu 1
憯 | can 11
舮 | lu 1
估 | gu 552
殳 | shu 21
谲 | jue 43
疷 | zhi 1
阶 | jie 2082
匸 | xi 1
羻 | qiang 1
逺 | yuan 1
崼 | shi 1
禿 | tu 3
騾 | luo 4
杀 | sha 2901
菃 | qu 1
慄 | li 7
跇 | yi 2
歈 | yu 14
韋 | wei 21
响 | xiang 1596
界 | jie 5918
量 | liang 8747
廑 | qin 1
罐 | guan 705
鯓 | shen 1
壕 | hao 130
祔 | fu 21
拙 | zhuo 404
荘 | zhuang 1
泝 | su 14
赜 | ze 34
盡 | jin 17
靠 | kao 511
烥 | chen 1
酤 | gu 47
幦 | mi 3
竩 | yi 1
魨 | tun 2
塪 | kan 1
蓭 | an 1
軱 | gu 3
汲 | ji 316
嗷 | ao 60
癶 | bo 1
鋹 | chang 3
忻 | xin 133
灺 | xie 18
姿 | zi 671
穾 | yao 3
挃 | zhi 5
蒂 | di 1522
洇 | yin 7
躆 | ju 1
看 | kan 5119
袊 | ling 1
喌 | zhou 1
銎 | qiong 2
徐 | xu 4572
笓 | pi 1
妔 | keng 1
蔗 | zhe 177
輛 | liang 1
涜 | du 1
褟 | ta 2
嘡 | tang 1
倥 | kong 14
熤 | yi 4
鴧 | yu 1
箨 | tuo 59
薬 | yao 2
渱 | hong 1
辰 | chen 1628
覴 | deng 1
嚶 | ying 1
爹 | die 109
鎸 | juan 1
傺 | chi 4
簽 | qian 5
鶼 | qian 1
媾 | gou 32
虁 | kui 1
擂 | lei 96
聅 | che 1
滆 | ge 4
詉 | nu 1
棊 | qi 5
鑍 | ying 1
兏 | chang 1
狎 | xia 138
孓 | jue 5
糒 | bei 2
顕 | xian 1
敗 | bai 3
潛 | qian 6
胚 | pei 415
楟 | ting 1
諞 | pian 1
埠 | bu 617
獣 | shou 1
铢 | zhu 95
凤 | feng 6228
寨 | zhai 1486
蝫 | zhu 2
飪 | ren 1
旬 | xun 261
乱 | luan 2890
濰 | wei 1
譳 | nou 2
槴 | hu 1
剹 | lu 1
珸 | wu 1
齻 | dian 1
屽 | han 1
饿 | e 257
榁 | shi 1
澅 | hua 1
踄 | bu 3
斉 | qi 1
萈 | huan 1
箍 | gu 248
騌 | zong 1
熑 | qian 1
逐 | zhu 1638
匒 | da 1
瞕 | zhang 1
阔 | kuo 791
椖 | peng 1
漚 | ou 1
莝 | cuo 2
攞 | luo 8
